,clean_message,intent
293,I want to go to paris,Default Fallback Intent
294,now,find.event
295,var,find.event
296,nice,find.accommodation
297,cannes,find.event
298,Hi,Default Welcome Intent
299,this weekend,find.alternatives
300,next week,find.event
301,music,find.event
302,nice,find.event
303,now,find.event
304,give me the concerts in Nice next week,find.event
305,the next week,find.alternatives
306,Hi,Default Welcome Intent
307,Hi,Default Welcome Intent
308,what's up bot,Default Welcome Intent
309,Hi,Default Welcome Intent
310,Hi,Default Welcome Intent
311,hello,Default Welcome Intent
312,how are you doing?,Default Fallback Intent
313,how about next week-end?,Default Fallback Intent
314,what time is it?,Default Fallback Intent
315,Hi,Default Welcome Intent
316,all the concerts,find.event
317,hi,Default Welcome Intent
318,great,Default Fallback Intent
319,give me all the events,find.event
320,hi,Default Welcome Intent
321,Tunis,find.event
322,what are the available cities?,find.event
323,musem in nice,weather
324,nice,find.alternatives
325,i like to know more about usa,Default Fallback Intent
326,find hotel,find.accommodation
327,nice,find.alternatives
328,usa,Default Fallback Intent
329,French Riviera,find.event
330,Hi,Default Welcome Intent
331,quit,find.event
332,paris,find.event
333,find same musem in nice,Default Fallback Intent
334,marseille,find.accommodation
335,museum,find.poi
336,bye bye,leave.positive
337,Hi,Default Welcome Intent
338,tunisia,find.poi
339,hello,Default Welcome Intent
340,music,find.event
341,how can you help,find.event
342,nice,find.event
343,paris,find.poi
344,goodbye,leave.positive
345,now,find.event
346,paris,find.poi
347,find some museum in ince,find.poi
348,Aiglun ,find.event
349,usa,find.poi
350,i want the full list of concerts in Nice ,find.event
351,i cam to paris next week,find.event
352,frensh,find.poi
353,next week,find.event
354,paris,find.event
355,nice,find.event
356,this month,find.event
357,french,find.poi
358,concert in nice today,find.event
359,can you find events in nice for 18/08 to 19/08?,find.event
360,find some concerts in Nice this weekend,find.event
361,find some concert in nice this weekend,find.event
362,monaco,find.alternatives
363,find me hotel in france,find.accommodation
364,events in toulouse,find.event
365,nice,find.accommodation
366,weather in nice ? ,weather
367,tunisia,Default Fallback Intent
368,sousse,Default Fallback Intent
369,Sousse,Default Fallback Intent
370,i want the full list of concerts in Nice,find.event
371,llist of events at nice this week please,find.event
372,tunsia,Default Fallback Intent
373,next month,find.event
374,ok thanks,leave.positive
375,vinise,Default Fallback Intent
376,i want the full list of events in Nice,find.event
377,no i stay to ask more,find.more
378,restaurant suggestion ?,find.restaurant
379,Hi,Default Welcome Intent
380,next week,find.event
381,Hi,Default Welcome Intent
382,ok i need more info about Corps sportifs?,Default Fallback Intent
383,restaurant suggestion in nice ? ,find.alternatives
384,ok i need more info about Corps sportifs event,find.event
385,resturant a nice,find.restaurant
386,Hi,Default Welcome Intent
387,hey,Default Welcome Intent
388,nice,find.event
389,Hi,Default Welcome Intent
390,what are the events in nice,find.event
391,ok,Default Fallback Intent
392,nice,find.restaurant
393,find a resturant,abandon
394,from 20/08 to 25/08,find.event
395,Hello,Default Welcome Intent
396,next month,find.event
397,Hi,Default Welcome Intent
398,what's up,find.poi
399,hi,Default Welcome Intent
400,return,find.poi
401,true,find.poi
402,find markets,find.shopping
403,false,find.poi
404,can,find.shopping
405,001,find.poi
406,so i need to know all the events in nice in all time,find.alternatives
407,i am trying to find a restaurant in Nice,find.restaurant
408,i want to spend the weekend in nice can you recommend to me the best hotels there?,find.accommodation
409,Hi,Default Welcome Intent
410,Hi,Default Welcome Intent
411,exit,find.poi
412,I want to reserve tow days in a hotel next week ,find.event
413,close,find.poi
414,cannes,find.shopping
415,nice thanks,find.alternatives
416,At any restaurant you advise me,find.restaurant
417,nice,find.event
418,find food,find.restaurant
419,paris,Default Fallback Intent
420,ok,Default Fallback Intent
421,Hi,Default Welcome Intent
422,Hi,Default Welcome Intent
423,cannes,find.restaurant
424,california,Default Fallback Intent
425,in nice,find.alternatives
426,not hotels but restaurant ,find.accommodation
427, find some concerts in Nice this sunday,find.event
428, French Rivieral,Default Fallback Intent
429, French Riviera,Default Fallback Intent
430,goodbye,leave.positive
431,Nice,find.accommodation
432, French Rivierl,Default Fallback Intent
433,At any hotel you advise me in nice ? ,find.accommodation
434, French Rivie,Default Fallback Intent
435,i will,leave.negative
436,what to do?,Default Fallback Intent
437,find some hôtel nearby me,find.alternatives
438,hotels in nice,find.accommodation
439, I want to book a room at the hotel,find.accommodation
440,is there any nice places to visit in Nice ?,Default Fallback Intent
441,Historical and Cultural Sites,Default Fallback Intent
442,stop,abandon
443,Hello,Default Welcome Intent
444,help me please,Default Fallback Intent
445,find some concerts in Nice this weekend ,find.event
446,the link to kyriad hotel is not working,find.accommodation
447,Hi,Default Welcome Intent
448,what is my location now,find.alternatives
449,i woold like find some concerts in Nice this weekend,find.event
450,find some concerts in Nice this week,find.event
451,i want to have the list of concerts in Nice this weekend?,find.event
452,weather paris ,Default Fallback Intent
453,Is there any interesting events in Cannes this weekend ?,find.event
454,at nice please,find.alternatives
455,is there any music?,find.event
456,so in the nex week,find.alternatives
457,Bairols ,find.event
458,weather nice ,find.alternatives
459,can you suggest me the best places to visit in Nice ?,Default Fallback Intent
460,bot you are stupid,Default Fallback Intent
461,and for the next week,find.alternatives
462,next week,find.event
463,events,find.event
464,is there any restaurant in nice,find.restaurant
465,i woold like find some concerts in Nice next weekend,find.event
466,find somme music events in Aspremont for next week,find.event
467,the city is nice,find.alternatives
468,Hi,Default Welcome Intent
469,nd somme music events in Aspremont for any date,find.event
470,i woold like find some concerts in Nice from 01/08/2018 to 31/08/2018,find.event
471,find some concerts in Nice this weekend,find.event
472,Aspremont ,find.event
473,what is the weather in nice?,weather
474,next year,find.event
475,is there any hotel nearby me?,find.accommodation
476,what are the nearest restaurants to kyriad hotel?,find.restaurant
477,i woold like find some concerts in Antibe ,find.event
478,Hi,Default Welcome Intent
479,this month,find.event
480,nice,find.restaurant
481,hello ,Default Welcome Intent
482,reboot,abandon
483,find some concerts in Nice for the next weekend,find.event
484,nice,find.event
485,find some concerts in Nice this weekend),find.event
486,sport activitries,find.event
487,ok thank you,leave.positive
488,i woold like find some concerts in PACA this month,find.alternatives
489,is there any hotel in Nice?,find.accommodation
490,this year,find.event
491,What are the best restaurants in Cannes ?,find.restaurant
492,Aiglun,find.event
493,the cheapest restaurants in paris,find.restaurant
494,find some concerts in Paris this weekend,find.alternatives
495,this weekend,find.event
496,hi MinoTour can you show me all the hotels closest to my current location ,find.accommodation
497,no i still need your help,Default Fallback Intent
498,Hi,Default Welcome Intent
499,i woold like find some concerts in Cannes this month,find.event
500,i want 3 rooms in paris next week,find.event
501,what about Paris ?,Default Fallback Intent
502,can u suggest me the place to visit at monaco ,find.alternatives
503,ok,Default Fallback Intent
504,paris,find.event
505,it's ok,Default Fallback Intent
506,Tourtour,find.restaurant
507,nice,find.event
508,can u suggest me the best place to visit at monaco,find.alternatives
509,ouki,Default Fallback Intent
510,are there any events this weekend,find.alternatives
511,good,Default Fallback Intent
512,nearby hotels in Paris?,find.accommodation
513,there is some concerts in Nice this weekend ?,find.event
514,Nice please ,find.accommodation
515,what time is it,Default Fallback Intent
516,Sport activities in Monaco  this week,find.activity
517,the cheapest restaurants in Tourtour,find.restaurant
518,list of hotels in Paris ?,find.accommodation
519,i said Paris,find.accommodation
520,Paris,find.accommodation
521,is there a good place to visite,find.activity
522,Marseille,find.accommodation
523,and in cannes ?,find.alternatives
524,find some hotels near to nice ,find.accommodation
525,thanks a lot ,leave.positive
526,stop,find.accommodation
527,is there a good place to visite in nice,find.activity
528,??,Default Fallback Intent
529,and in Antibes,find.alternatives
530,hello,Default Welcome Intent
531,find food in nice,find.restaurant
532,weather nice,find.alternatives
533,you can give me the names of museums in nice ?,find.poi
534,hey bot are you here,find.alternatives
535,what is Nice best known for ?,find.alternatives
536,i want to have spa in Cannes,find.activity
537,ok,Default Fallback Intent
538,no,Default Fallback Intent
539,no,Default Fallback Intent
540,any awsome places in nice ?,Default Fallback Intent
541,stop,abandon
542,in Andon,find.alternatives
543,find me concerts in any place,find.event
544,can you help me to find the cheapest hotel through this list ,find.accommodation
545,you can give me the names festivales in Nice ?,find.alternatives
546,places,Default Fallback Intent
547,next month,find.alternatives
548,events,find.event
549,which places can i visit at cote d'azur ,Default Fallback Intent
550,events,find.event
551,next year,find.alternatives
552,you can choose it for me ,find.event
553,Nice,find.accommodation
554,nice,find.event
555,all cities,find.event
556,concert,find.event
557,paris,find.event
558,nice,find.event
559,music events in nice,find.event
560,Monaco,find.event
561,what are cool restaurants in monaco?,find.restaurant
562,8 Aout,find.activity
563,next week,find.event
564,Le Cannet-des-Maures ,find.event
565,ok thanks,leave.positive
566,hotels in Saint-Paul,find.accommodation
567,this year,find.event
568,hello,Default Welcome Intent
569,ok thanks a lot nice to talk to you ,find.alternatives
570,can you give me the names of restaurants in Nice,find.restaurant
571,in nice,find.alternatives
572,where can i go this weekend,find.event
573,What places can I visit in Monaco this sunday?,find.alternatives
574,i want to make reservation,Default Fallback Intent
575,États-Unis,Default Fallback Intent
576,hôtels in Montauroux,find.alternatives
577,any nice events ?,find.alternatives
578,help,Default Fallback Intent
579,Activities ,find.activity
580,Activities ,find.activity
581,is there any Metallica Concert in Nice ?,find.event
582, what are the cities that belong to Côte d’Azur,Default Fallback Intent
583,Hi,Default Welcome Intent
584,hello!,Default Welcome Intent
585,Hi,Default Welcome Intent
586,nice and expencive places ,find.alternatives
587,and can you give me the best restaurant on this list ?,find.restaurant
588,train ,Default Fallback Intent
589,cheapest,Default Fallback Intent
590,what activities are available in monaco this week?,find.activity
591,list of event at lyon,find.event
592,show me the activities in Aspremont ,find.activity
593,Nice,find.restaurant
594,nice place,Default Fallback Intent
595,I'm looking for events in Nice,find.event
596,cheap,Default Fallback Intent
597,events,find.event
598,paris,Default Fallback Intent
599,Monaco,find.alternatives
600,next week,find.event
601,category events,find.event
602,i need the best of this list,Default Fallback Intent
603,kan,Default Fallback Intent
604,Events in Nice this week-end,find.alternatives
605,paris,find.event
606,vestifal,Default Fallback Intent
607,nice,find.event
608,vestifal,Default Fallback Intent
609,Cagnes-sur-Mer ,find.event
610,lyon,find.event
611,lyon,find.event
612,the best places in Nice ,find.alternatives
613,this tow years,find.alternatives
614,i said the city is lyon,find.event
615,party,Default Fallback Intent
616,There is some concert in Nice this week ?,find.event
617,today,find.event
618,cannes,find.event
619,i want to know where the best party,Default Fallback Intent
620,this year,find.alternatives
621,tomorrow,find.event
622,awsome events,find.event
623,Any good markets in Cannes to visit during the weekend ?,find.alternatives
624,find some concerts in Nice this weekend,find.event
625,nice events,find.event
626,awsome events,find.event
627,Find some concerts in Nice this weekend,find.event
628,awsome,find.event
629,find Cannes,find.alternatives
630,find hotel ,find.accommodation
631,afternoon,find.event
632,paris,find.accommodation
633,paris,find.accommodation
634,paris,find.accommodation
635,There is some good restaurants overthere ?,find.restaurant
636,loop,Default Fallback Intent
637,foreach events echo id,find.event
638,Cannes,find.restaurant
639,Stop,find.accommodation
640,while(1){echo 'true';},find.alternatives
641,Reboot,abandon
642,what is going on?,leave.negative
643,find hotel,find.accommodation
644,paris,find.accommodation
645,hello,Default Welcome Intent
646,Monaco,find.alternatives
647,find hotel in paris,find.accommodation
648,reboot,abandon
649,i can ask questino,Default Fallback Intent
650,can i ask you a question,Default Fallback Intent
651,by the way you already informed me about weather several times !!,Default Fallback Intent
652,what can i ask you,Default Fallback Intent
653,ok,Default Fallback Intent
654,Where should i go to do some sightseeing in Nice?,find.alternatives
655,Where can i do a shopping ?,Default Fallback Intent
656,in need to khow all restaurants nearby me,find.restaurant
657,what places could I visit in Nice,find.alternatives
658,find a good restaurant in nice ,find.restaurant
659,Hi,Default Welcome Intent
660,I want to do a shopping,abandon
661,shopping,Default Fallback Intent
662,nice,find.restaurant
663,Finds markets,find.shopping
664,Cannes,find.shopping
665,where can i eat the best pizza in nice ??,find.event
666,today,find.event
667,sighseeing and place to visit,Default Fallback Intent
668,show me map of nice,Default Fallback Intent
669,i'm looking for sighseeing,find.more
670,.,Default Fallback Intent
671,where can i go tonight ?,find.alternatives
672,no,Default Fallback Intent
673,find me a cheap hotel in nice,find.accommodation
674,stop,abandon
675,when will be the next concert  ? ,find.event
676,nice,find.event
677,Any good nightclubs in Cannes?,find.activity
678,tomorrow,find.event
679,find me a Jazz Restaurants in nice,find.restaurant
680,Hi,Default Welcome Intent
681,Hi,Default Welcome Intent
682,can i go out tonight ?,find.alternatives
683,.,Default Fallback Intent
684,stop,abandon
685,show me restaurants in Antibes ,find.restaurant
686,any suggestions for tonight?,find.alternatives
687,hey mino,Default Welcome Intent
688,stop,abandon
689,find some concerts in Nice this weekend,find.event
690,romantic events,find.event
691,nice,find.event
692,is there an event tonight in Cannes ?,find.event
693,tonight,find.event
694,where can i get chineese food in beausoleil,find.restaurant
695,shopping,Default Fallback Intent
696,culturelle,Default Fallback Intent
697,cultural events,find.event
698,hotels,find.accommodation
699,nice,find.event
700,and next week ?,find.alternatives
701,tomorrow,find.event
702,nice,find.accommodation
703,and this month ?,find.alternatives
704,what places could I visit in Nice,find.alternatives
705,where is the apple store in nice ? ,find.alternatives
706,when is the next concept in Bouyon ? ,find.alternatives
707,and next month ?,find.alternatives
708,which restaurant you recommend near to Hôtel De France ?,find.alternatives
709,bonjour,Default Welcome Intent
710,and next year ?,find.alternatives
711,nothing special,abandon
712,Hi,Default Welcome Intent
713,what do you want me to do?,Default Fallback Intent
714,give me romantic events,find.event
715,where is Monaco located?,Default Fallback Intent
716,nice,find.event
717,tonight,find.event
718,Where is Monaco?,Default Fallback Intent
719,where can I find some Water Sports ?,find.event
720,Cannes,find.event
721,any time ?,Default Fallback Intent
722,find some concerts in Nice this weekend,find.event
723,and any time ?,Default Fallback Intent
724,today,find.event
725,find cultural events,find.event
726,this weekend,find.alternatives
727,and 08/06/2019 ?,find.alternatives
728,find some concerts in Nice this weekend,find.event
729,bye,leave.positive
730,reboot,abandon
731,and next week,find.alternatives
732,rebot ,Default Fallback Intent
733, find some restaurant nearby me ,find.alternatives
734,hello,Default Welcome Intent
735,what places could I visit in Nice,find.alternatives
736,reboot,abandon
737,find sports room in Cannes,find.event
738,robot ,Default Fallback Intent
739,this month,find.event
740,gym,Default Fallback Intent
741,reboot,abandon
742,what's your name,Default Fallback Intent
743,find best restaurant in Nice,find.restaurant
744,At any bar you advise me in nice ?,find.restaurant
745,weather in Nice this weekend,find.alternatives
746,what places could I visit in Nice ?,find.alternatives
747,places in Nice,find.alternatives
748,?,Default Fallback Intent
749,hotels,find.accommodation
750,At any super marcket you advise me in nice ?,weather
751,nice,find.accommodation
752,bars,find.restaurant
753,At any supermarket you advise me in nice ?,weather
754,nice,find.restaurant
755,shoppig,Default Fallback Intent
756,shopping,Default Fallback Intent
757,I would to get some souvenirs,leave.negative
758,I want to bye some gifts,leave.positive
759,I want to buy some gifts,Default Fallback Intent
760,yo,Default Welcome Intent
761,shoppin center,Default Fallback Intent
762,shopping center,Default Fallback Intent
763,i want to know the best places in Nice,Default Fallback Intent
764,shops,find.shopping
765,give me the best place in Nice,Default Fallback Intent
766,nice,find.shopping
767,list of places in nice,Default Fallback Intent
768,lists of ffod in nice,Default Fallback Intent
769,list of restaurant in nice,find.restaurant
770,local businnesses,Default Fallback Intent
771,weather,Default Fallback Intent
772,nice,find.alternatives
773,bye,leave.positive
774,thanks,leave.positive
775,yes,Default Fallback Intent
776,no,Default Fallback Intent
777,Minou Tour,find.activity
778,Marsseil,find.activity
779,where can i eat in Monaco,find.event
780,today,find.event
781,list of Shopping  in nice,find.alternatives
782,is there any opened restaurant today in monaco?,find.alternatives
783,i need list of shopping and not restaurant ,find.restaurant
784,in nice,find.alternatives
785,i dont need this list,Default Fallback Intent
786,you speak frensh ?,Default Fallback Intent
787,it's a question,Default Fallback Intent
788,by,Default Fallback Intent
789,good by ,Default Fallback Intent
790,ciao,Default Fallback Intent
791,Hi,Default Welcome Intent
792,nice,Default Fallback Intent
793,Nice,Default Fallback Intent
794,Shopping nice,Default Fallback Intent
795,museaum,Default Fallback Intent
796,museum,find.poi
797,paris,find.poi
798,Shops in Nice,find.shopping
799,ok,find.poi
800,paris,find.poi
801,paris,find.poi
802,concert,find.event
803,paris,find.poi
804,and in Cannes,find.alternatives
805,fuck,insult
806,and in Anibes,Default Fallback Intent
807,concert a paris,find.event
808,give me some restaurant in paris?,find.restaurant
809,in nice ,find.restaurant
810,find some hôtel nearby me,Default Fallback Intent
811,I am in nice,weather
812,find some hôtel nearby me,Default Fallback Intent
813,Hi,Default Welcome Intent
814,Hi,Default Welcome Intent
815,i'd like to eat fish tonight,find.event
816,NICE,find.event
817,today at 20:00,find.event
818,hello,Default Welcome Intent
819,i want to know the place in Nice ,Default Fallback Intent
820,list of places in Nice,Default Fallback Intent
821,list of restaurant in Nice,find.restaurant
822,goob by,Default Fallback Intent
823,TEst 1 : Demande pour manger du Poisson ce soir = il cherche dans la table food events ce qui est bizarre,find.alternatives
824,Test 2 : Les meilleurs night clubs à Antibes,find.alternatives
825,The best night clubs in Antibes,find.alternatives
826,rent a car,Default Fallback Intent
827,Renting a car,Default Fallback Intent
828,i want to rent a car in Menton,find.alternatives
829,Activity with my kids nearby,find.activity
830,I want a boat ride,Default Fallback Intent
831,Hi,Default Welcome Intent
832,goodmorning,Default Fallback Intent
833,good morning,find.event
834,goood mmorning,find.event
835,nice,find.event
836,Could you find some hotel around me ?,find.accommodation
837,i would like to do sport in Antibes,find.event
838,today,find.event
839,Hi,Default Welcome Intent
840,eat something ,find.event
841,Biot,find.event
842,August 6 2018 ,find.event
843,nearest beach ,find.poi
844,Nice,find.poi
845,Cannes,find.alternatives
846,Where can i eat in Nice ? ,find.event
847,August 6 2018,find.event
848,restaurant in nice,find.alternatives
849,food events in Nice for this week end ,find.event
850,where can i sleep in Cannes ? ,find.alternatives
851,hotel,find.accommodation
852,nice,find.accommodation
853,Shopping in Nice,find.alternatives
854,Tourism in Nice,find.alternatives
855,Hotel in Cannes,find.accommodation
856,Hotel in Antibes,find.accommodation
857,Tourist office in Nice,find.alternatives
858,Concert in Nice,find.alternatives
859,Concert in Cannes,find.alternatives
860,find some concerts in Nice this Weekend ,find.event
861,Cap3000,Default Fallback Intent
862,where can i eat some sushi in Nice ? ,find.event
863,Ths weekend,find.event
864,Show me restaurants in Antibes,find.restaurant
865,Show me events in Nice this week end,find.event
866,show me the nearest beach from biot ,find.poi
867,Place to visit in Nice,find.alternatives
868,show me places to visit in nice,find.alternatives
869,What are the best places to visit in nice ? ,find.alternatives
870,find some restaurant nearby me ,find.alternatives
871,Show me beach ,find.poi
872,Nice,find.poi
873,find me any portuguese restaurant in Nice,find.restaurant
874,in cagnes sur mer,Default Fallback Intent
875,stop,abandon
876,hi,Default Welcome Intent
877,find some events in Nice,find.event
878,this week,find.event
879,I would like a climbing activity in saint martin vésubie,find.activity
880,i need a doctor near my place,Default Fallback Intent
881,i need a doctor,Default Fallback Intent
882,i need a doctor,Default Fallback Intent
883,doctor,Default Fallback Intent
884,Which places to visit tomorrow,find.event
885,NICe,find.event
886,i want to find a bike rental in NICe for tomorrow,find.activity
887,is it going to rain tomorrow ?,find.alternatives
